country,year,gender,weighted_avg_hourly_earnings_usd,total_employment,population,hdi
"El Salvador",2023,M,20.49,9728.289000000002,6309624,0.678
"El Salvador",2023,F,21.610000000000003,7426.074,6309624,0.678
"El Salvador",2022,M,17.139999999999997,9630.383,6280319,0.678
"El Salvador",2022,F,21.18,7020.278000000001,6280319,0.678
"El Salvador",2021,M,18.07,9367.56,6255782,0.678
"El Salvador",2021,F,19.94,6714.3989999999985,6255782,0.678
"El Salvador",2019,M,20.58,9877.097000000002,6222318,0.678
"El Salvador",2019,F,19.68,7030.216000000002,6222318,0.678
"El Salvador",2018,M,18.38,9553.180999999997,6219807,0.678
"El Salvador",2018,F,19.240000000000002,6795.004,6219807,0.678
"El Salvador",2017,M,18.689999999999998,9336.023999999998,6213533,0.678
"El Salvador",2017,F,18.72,6656.471000000001,6213533,0.678
"El Salvador",2016,M,18.72,9152.997,6200800,0.678
"El Salvador",2016,F,16.919999999999998,6694.978,6200800,0.678
"El Salvador",2015,M,18.93,9032.159000000001,6183676,0.678
"El Salvador",2015,F,17.599999999999998,6461.837,6183676,0.678
"El Salvador",2014,M,18.380000000000003,8820.233999999999,6162955,0.678
"El Salvador",2014,F,17.599999999999998,6556.309,6162955,0.678
"El Salvador",2013,M,18.82,8756.610999999999,6138839,0.678
"El Salvador",2013,F,18.29,6537.340000000001,6138839,0.678
Colombia,2023,M,17.290219153920926,78021.017,52321152,0.788
Colombia,2023,F,16.50458222519652,55294.416999999994,52321152,0.788
Colombia,2022,M,16.075403828106985,76180.26000000001,51737944,0.788
Colombia,2022,F,15.172305931374911,52720.04799999998,51737944,0.788
Colombia,2021,M,11.93169783042549,73333.97200000001,51188173,0.788
Colombia,2021,F,12.503962860328052,47898.664000000004,51188173,0.788
Colombia,2019,M,14.068542103040812,73204.645,49907985,0.788
Colombia,2019,F,14.442869166745508,51303.36900000003,49907985,0.788
Colombia,2018,M,13.970553350206274,72816.46699999999,49024465,0.788
Colombia,2018,F,14.604781276629396,51427.99100000001,49024465,0.788
Colombia,2017,M,13.558166173167399,71902.432,48131078,0.788
Colombia,2017,F,14.12363369859191,51431.82300000002,48131078,0.788
Colombia,2016,M,12.432448355374591,71175.71,47437512,0.788
Colombia,2016,F,12.776822229241095,51037.76,47437512,0.788
Colombia,2015,M,13.103490491888167,70898.55799999998,46969940,0.788
Colombia,2015,F,13.56331558129171,50940.441,46969940,0.788
Colombia,2014,M,17.74002363694059,69828.02900000002,46565429,0.788
Colombia,2014,F,18.16363459188798,49816.59999999999,46565429,0.788
Colombia,2013,M,18.92947971929937,68251.65699999998,46151584,0.788
Colombia,2013,F,19.369670313206466,48644.70300000003,46151584,0.788
"South Africa",2019,M,46.80786340501775,54952.65399999999,59587885,0.741
"South Africa",2019,F,46.063145661060936,43210.035999999986,59587885,0.741
"South Africa",2018,M,25.23816349721946,55031.58,58613001,0.741
"South Africa",2018,F,22.140065582890127,43288.99600000002,58613001,0.741
Thailand,2023,M,24.41455651636434,125093.65800000001,71702435,0.798
Thailand,2023,F,22.637082095285468,108804.327,71702435,0.798
Thailand,2022,M,23.794291859744632,123345.32100000001,71735329,0.798
Thailand,2022,F,21.83743624579085,106674.85699999997,71735329,0.798
Thailand,2021,M,25.580498787030436,119730.963,71727332,0.798
Thailand,2021,F,24.033453865950236,101633.20299999998,71727332,0.798
Thailand,2020,M,27.833741154932415,119740.75999999998,71641484,0.798
Thailand,2020,F,26.03433590082316,101252.61900000002,71641484,0.798
Thailand,2019,M,25.784596907678885,119899.49299999997,71522271,0.798
Thailand,2019,F,24.566467552799846,100841.57799999998,71522271,0.798
Thailand,2018,M,24.182746546292805,120847.96499999998,71376079,0.798
Thailand,2018,F,22.631844352097204,101379.10800000002,71376079,0.798
Thailand,2017,M,22.983333604809154,119701.69399999997,71160187,0.798
Thailand,2017,F,21.147731164478902,100258.53399999999,71160187,0.798
Thailand,2016,M,22.756155847884344,120298.61199999998,70859841,0.798
Thailand,2016,F,21.042665844423173,101049.92899999999,70859841,0.798
Thailand,2015,M,17.364369303452335,121316.684,70540795,0.798
Thailand,2015,F,16.251594388530997,101969.73400000001,70540795,0.798
Thailand,2014,M,23.572473175662868,121724.15399999997,70216367,0.798
Thailand,2014,F,21.666983102335315,101979.769,70216367,0.798
Kiribati,2023,M,32.68023649889647,134.855,132530,0.644
Kiribati,2023,F,24.242769462181993,107.217,132530,0.644
Guyana,2019,M,17.061918465227816,852.6390000000001,807665,0.776
Guyana,2019,F,15.270263788968824,580.343,807665,0.776
Guyana,2018,M,18.14731605552432,901.798,791556,0.776
Guyana,2018,F,14.746770440503866,593.5989999999999,791556,0.776
Argentina,2023,M,37.08084998536604,43502.39400000001,45538401,0.865
Argentina,2023,F,34.46407713545887,34515.076,45538401,0.865
Argentina,2022,M,37.510330811830514,42488.053000000014,45407904,0.865
Argentina,2022,F,35.05574140489854,33185.208,45407904,0.865
Argentina,2021,M,32.354205747595216,40831.992,45312281,0.865
Argentina,2021,F,28.412453178550987,31073.587,45312281,0.865
Argentina,2020,M,32.578496579914216,36110.00899999999,45191965,0.865
Argentina,2020,F,28.307961298096785,28192.302000000007,45191965,0.865
Argentina,2019,M,29.734635317191962,39766.456,44973465,0.865
Argentina,2019,F,28.056057144765923,30795.064,44973465,0.865
Argentina,2018,M,38.20075879479108,38788.37199999998,44654882,0.865
Argentina,2018,F,34.51682817726405,29997.90300000001,44654882,0.865
Argentina,2017,M,48.48543197857489,38765.93500000001,44288894,0.865
Argentina,2017,F,45.42796074341514,28959.159,44288894,0.865
Argentina,2014,M,41.82519585715503,37649.49999999999,43024071,0.865
Argentina,2014,F,39.48967196710042,27080.688000000002,43024071,0.865
Argentina,2013,M,48.49659222676951,37417.45800000001,42582455,0.865
Argentina,2013,F,44.864293451060036,26738.011,42582455,0.865
India,2023,M,8.59474841118545,1895181.7880000006,1438069596,0.685
India,2023,F,6.827662714069395,876305.5029999999,1438069596,0.685
India,2022,M,8.561597371965146,1908785.874000001,1425423212,0.685
India,2022,F,6.815132265686542,706063.5579999998,1425423212,0.685
India,2021,M,3.1607992571901598,1748142.8899999994,1414203896,0.685
India,2021,F,2.3390780327348857,638932.834,1414203896,0.685
India,2020,M,6.471427839156476,1679202.6710000003,1402617695,0.685
India,2020,F,4.872902976169626,593249.2030000001,1402617695,0.685
India,2019,M,6.169382265031496,1684154.604,1389030312,0.685
India,2019,F,4.485919800951662,546708.8309999999,1389030312,0.685
India,2018,M,6.3505393221730575,1599110.911,1374659064,0.685
India,2018,F,4.501424167831677,442555.098,1374659064,0.685
Afghanistan,2020,M,7.543982830248476,28811.192,39068979,0.496
Afghanistan,2020,F,12.041367224080254,6625.901000000001,39068979,0.496
Afghanistan,2014,M,8.026202017555352,30961.478,32792523,0.496
Afghanistan,2014,F,7.585484082274334,9829.859999999999,32792523,0.496
Portugal,2023,M,53.78230152941272,15111.913,10578174,0.89
Portugal,2023,F,50.23574043137343,14700.126999999995,10578174,0.89
Portugal,2022,M,50.65163949416362,14838.889999999998,10434332,0.89
Portugal,2022,F,47.703103307393185,14338.662999999999,10434332,0.89
Portugal,2021,M,58.80584821705331,14360.173,10361831,0.89
Portugal,2021,F,50.160016550386786,13926.771,10361831,0.89
Portugal,2020,M,55.31655755641944,14501.617000000002,10297081,0.89
Portugal,2020,F,54.8139912684817,13924.624,10297081,0.89
Portugal,2019,M,48.697141176469636,14849.868,10286263,0.89
Portugal,2019,F,45.93203913725401,14219.542,10286263,0.89
Portugal,2018,M,49.36389850980301,14707.760999999999,10283822,0.89
Portugal,2018,F,45.95093997646973,14084.103,10283822,0.89
Portugal,2017,M,47.59346796470639,14445.14,10300300,0.89
Portugal,2017,F,43.76384877647106,13688.678999999998,10300300,0.89
Portugal,2016,M,45.77044371595468,13954.586,10325452,0.89
Portugal,2016,F,40.335549431907836,13286.074999999999,10325452,0.89
Portugal,2015,M,45.057318488281226,13770.612000000001,10358076,0.89
Portugal,2015,F,41.462496722656226,13100.049000000003,10358076,0.89
Portugal,2014,M,53.89727681960679,13672.942999999996,10401062,0.89
Portugal,2014,F,48.19800845490103,12866.573000000004,10401062,0.89
Portugal,2013,M,55.289553972549626,13428.930000000004,10457295,0.89
Portugal,2013,F,50.82707736078486,12635.509000000004,10457295,0.89
Sudan,2022,M,11.575285887004847,43201.064,49383346,0.511
Sudan,2022,F,3.858593235390703,9441.251000000002,49383346,0.511
Egypt,2023,M,147.72,144225.78600000002,114535772,0.754
Egypt,2023,F,138.7,32025.43699999999,114535772,0.754
Egypt,2022,M,123.07000000000001,140199.049,112618250,0.754
Egypt,2022,F,116.44,24840.52800000001,112618250,0.754
Egypt,2021,M,118.82999999999998,134945.81,110957008,0.754
Egypt,2021,F,117.60000000000001,25280.543000000005,110957008,0.754
Egypt,2020,M,118.12,130785.71700000003,109315124,0.754
Egypt,2020,F,107.01,23316.542,109315124,0.754
Egypt,2019,M,127.14,129961.75600000002,107553158,0.754
Egypt,2019,F,119.61999999999999,23522.400000000005,107553158,0.754
Egypt,2018,M,81.46000000000001,125099.19400000002,105682094,0.754
Egypt,2018,F,69.22000000000001,27922.636999999995,105682094,0.754
Egypt,2017,M,88.18,121092.34300000001,103696057,0.754
Egypt,2017,F,76.22999999999999,31433.733,103696057,0.754
Egypt,2016,M,81.26,117364.98600000005,101644589,0.754
Egypt,2016,F,66.36,31168.33,101644589,0.754
Egypt,2015,M,68.15,115711.696,99597342,0.754
Egypt,2015,F,58.809999999999995,29625.631,99597342,0.754
Egypt,2013,M,51.76,112034.626,95333553,0.754
Egypt,2013,F,43.00999999999999,28856.391000000003,95333553,0.754
Iceland,2022,M,302.4100357463496,662.1519999999998,382003,0.972
Iceland,2022,F,250.88723082940857,570.6090000000002,382003,0.972
Iceland,2021,M,310.57842346540485,625.0829999999999,372520,0.972
Iceland,2021,F,250.02193065483274,529.3619999999999,372520,0.972
Iceland,2017,M,332.3674864154909,606.0049999999999,343400,0.972
Iceland,2017,F,255.33610333468295,528.1919999999999,343400,0.972
Iceland,2016,M,277.4569197797133,590.999,335439,0.972
Iceland,2016,F,210.41034906922175,523.093,335439,0.972
Iceland,2015,M,234.76579151089413,561.5980000000001,330815,0.972
Iceland,2015,F,178.82224803816575,512.5989999999999,330815,0.972
Iceland,2014,M,242.27662435292888,542.0349999999999,327386,0.972
Iceland,2014,F,185.49705491284695,497.10099999999994,327386,0.972
"North Macedonia",2018,M,58.232554003748405,2670.6230000000005,1889051,0.815
"North Macedonia",2018,F,46.948297041366594,1772.9319999999998,1889051,0.815
Honduras,2023,M,23.14763739522601,13368.736,10644851,0.645
Honduras,2023,F,22.30826269206093,8030.661000000001,10644851,0.645
Honduras,2022,M,20.031141442048334,12692.010999999999,10463872,0.645
Honduras,2022,F,22.716771561990228,8383.274,10463872,0.645
Honduras,2021,M,21.743660511808347,12569.769000000002,10289877,0.645
Honduras,2021,F,22.067185994232567,8965.750999999997,10289877,0.645
Honduras,2020,M,21.745285094203492,12217.662999999999,10119640,0.645
Honduras,2020,F,28.509210249688984,8968.888999999997,10119640,0.645
Honduras,2019,M,17.112403210015582,13843.403999999995,9943633,0.645
Honduras,2019,F,15.414219562898635,8368.420000000002,9943633,0.645
Honduras,2018,M,16.5780238619714,13650.417000000003,9765210,0.645
Honduras,2018,F,15.433803015494544,9032.048,9765210,0.645
Honduras,2017,M,17.629263853990697,13133.231999999996,9588137,0.645
Honduras,2017,F,14.566303795892615,8107.856,9588137,0.645
Honduras,2016,M,17.756061898771954,12408.638000000003,9412380,0.645
Honduras,2016,F,15.731539771853818,7975.936000000001,9412380,0.645
Honduras,2015,M,17.11629093866875,12311.661,9237305,0.645
Honduras,2015,F,16.958625301461485,7848.988999999999,9237305,0.645
Honduras,2014,M,13.352927325797266,11821.152000000002,9063122,0.645
Honduras,2014,F,13.726489095117312,7403.491999999999,9063122,0.645
Honduras,2013,M,12.157938728413844,12182.030999999997,8889278,0.645
Honduras,2013,F,13.128765808642804,7150.768,8889278,0.645
Albania,2018,M,38.09641399214416,4041.846000000001,2866376,0.81
Albania,2018,F,34.846087956353536,3179.0170000000003,2866376,0.81
"Bolivia (Plurinational State of)",2023,M,203.09,20087.118000000002,12244159,0.733
"Bolivia (Plurinational State of)",2023,F,177.85999999999999,18146.958,12244159,0.733
"Bolivia (Plurinational State of)",2022,M,188.42000000000002,19816.649,12077154,0.733
"Bolivia (Plurinational State of)",2022,F,175.69000000000003,17431.763000000003,12077154,0.733
"Bolivia (Plurinational State of)",2021,M,191.48,19007.66700000001,11937360,0.733
"Bolivia (Plurinational State of)",2021,F,170.95000000000002,16695.725000000002,11937360,0.733
Guatemala,2023,M,25.42270898280328,26354.623,18124838,0.662
Guatemala,2023,F,25.71765377588387,18796.833999999995,18124838,0.662
"United Kingdom of Great Britain and Northern Ireland",2023,M,128.59,100822.53399999999,68492000,0.946
"United Kingdom of Great Britain and Northern Ireland",2023,F,112.78000000000002,93210.73099999999,68492000,0.946
"United Kingdom of Great Britain and Northern Ireland",2022,M,123.28,100443.81799999997,67604000,0.946
"United Kingdom of Great Britain and Northern Ireland",2022,F,104.44999999999999,91755.82800000002,67604000,0.946
"United Kingdom of Great Britain and Northern Ireland",2021,M,118.29,98406.904,66984000,0.946
"United Kingdom of Great Britain and Northern Ireland",2021,F,98.88000000000001,90617.17199999998,66984000,0.946
"United Kingdom of Great Britain and Northern Ireland",2020,M,120.40999999999998,100212.76899999999,66744000,0.946
"United Kingdom of Great Britain and Northern Ireland",2020,F,105.03999999999999,91480.19700000001,66744000,0.946
"United Kingdom of Great Britain and Northern Ireland",2018,M,109.74000000000001,100838.29699999996,66289000,0.946
"United Kingdom of Great Britain and Northern Ireland",2018,F,90.64,89576.02399999998,66289000,0.946
"United Kingdom of Great Britain and Northern Ireland",2017,M,104.78000000000002,99636.795,65966000,0.946
"United Kingdom of Great Britain and Northern Ireland",2017,F,88.94,88405.98600000002,65966000,0.946
"United Kingdom of Great Britain and Northern Ireland",2016,M,100.81000000000002,98816.46500000005,65607000,0.946
"United Kingdom of Great Britain and Northern Ireland",2016,F,87.02000000000001,87283.96399999998,65607000,0.946
"United Kingdom of Great Britain and Northern Ireland",2015,M,101.63999999999999,97376.19400000002,65088000,0.946
"United Kingdom of Great Britain and Northern Ireland",2015,F,85.02,85629.37900000002,65088000,0.946
"United Kingdom of Great Britain and Northern Ireland",2014,M,98.21,95702.35500000001,64620000,0.946
"United Kingdom of Great Britain and Northern Ireland",2014,F,83.69999999999999,84351.834,64620000,0.946
"United Kingdom of Great Britain and Northern Ireland",2013,M,97.25,93405.509,64139000,0.946
"United Kingdom of Great Britain and Northern Ireland",2013,F,82.99000000000001,82513.602,64139000,0.946
"Venezuela (Bolivarian Republic of)",2017,M,8003.880000000001,50811.520000000004,30565323,0.709
"Venezuela (Bolivarian Republic of)",2017,F,6619.09,34585.22400000001,30565323,0.709
"Venezuela (Bolivarian Republic of)",2016,M,632.86,46357.51000000001,30765720,0.709
"Venezuela (Bolivarian Republic of)",2016,F,648.74,30170.601,30765720,0.709
Tunisia,2019,M,14.568400486181334,15310.644,11875081,0.746
Tunisia,2019,F,13.201867481512629,5531.262,11875081,0.746
"Marshall Islands",2019,M,32.56,66.41700000000002,44007,0.733
"Marshall Islands",2019,F,35.67,30.505999999999997,44007,0.733
Mali,2020,M,8.153394910961149,21263.162999999997,21713836,0.419
Mali,2020,F,3.940140973245077,15261.217,21713836,0.419
Mali,2018,M,8.84981788195285,19860.790999999994,20442030,0.419
Mali,2018,F,4.287758007977977,14924.140000000001,20442030,0.419
Mali,2017,M,6.488067180264425,19476.763,19813011,0.419
Mali,2017,F,4.961657643771311,15721.055999999997,19813011,0.419
Mali,2016,M,7.895773987059493,18207.808999999997,19191289,0.419
Mali,2016,F,3.4497141910857394,13753.366,19191289,0.419
Mali,2015,M,5.829299406219414,18434.326999999997,18593022,0.419
Mali,2015,F,4.566942787521467,15613.467999999993,18593022,0.419
Mali,2014,M,8.39578422268051,18202.524,18020267,0.419
Mali,2014,F,4.346446868023103,15200.094,18020267,0.419
Mali,2013,M,7.262771273284405,16967.643999999997,17459615,0.419
Mali,2013,F,5.755987376193107,15544.963000000002,17459615,0.419
"Republic of Korea",2022,M,240111.00000000003,93331.91299999999,26328845,0.937
"Republic of Korea",2022,F,175961,71388.03199999999,26328845,0.937
"Republic of Korea",2021,M,211556,91227.02200000004,26232534,0.937
"Republic of Korea",2021,F,153231,68856.453,26232534,0.937
"Republic of Korea",2020,M,205953,90352.68200000002,26136312,0.937
"Republic of Korea",2020,F,151524,67703.25499999999,26136312,0.937
"Republic of Korea",2019,M,217143,90938.27,26037632,0.937
"Republic of Korea",2019,F,160629,68553.495,26037632,0.937
"Republic of Korea",2018,M,204281,90496.03099999999,25931147,0.937
"Republic of Korea",2018,F,148410,67370.98599999999,25931147,0.937
"Republic of Korea",2017,M,182353,90562.56199999999,25817709,0.937
"Republic of Korea",2017,F,125319,67039.8,25817709,0.937
"Republic of Korea",2016,M,176032,89868.94200000001,25698326,0.937
"Republic of Korea",2016,F,125746,65930.75799999999,25698326,0.937
"Republic of Korea",2015,M,167523,89481.86300000001,25575350,0.937
"Republic of Korea",2015,F,114387,65150.472,25575350,0.937
"Republic of Korea",2014,M,173966,88908.423,25451262,0.937
"Republic of Korea",2014,F,122564,64271.18699999999,25451262,0.937
"Republic of Korea",2013,M,165311,87091.424,25329451,0.937
"Republic of Korea",2013,F,109439,62512.867,25329451,0.937
Uruguay,2023,M,72.86539439821239,5487.313999999999,3388081,0.862
Uruguay,2023,F,60.07224927933164,4511.668,3388081,0.862
Uruguay,2022,M,60.83760244346259,5332.866,3390913,0.862
Uruguay,2022,F,51.40962609274718,4439.294,3390913,0.862
Ukraine,2016,M,17.191665922190406,50026.79999999999,45616832,0.779
Ukraine,2016,F,13.650167870197304,46384.299999999996,45616832,0.779
Switzerland,2023,M,351.99056194281513,15216.186,8888093,0.97
Switzerland,2023,F,302.0623490522988,13342.964000000002,8888093,0.97
Switzerland,2022,M,318.06625769441234,14934.155000000002,8777088,0.97
Switzerland,2022,F,285.474153843737,13076.483000000002,8777088,0.97
Switzerland,2021,M,353.10113394400054,14750.447000000004,8704546,0.97
Switzerland,2021,F,300.26946558272516,12978.198000000004,8704546,0.97
Switzerland,2020,M,334.94326199592103,14753.99,8638167,0.97
Switzerland,2020,F,296.3475741907313,12916.930000000006,8638167,0.97
Switzerland,2019,M,297.843684981605,14776.252,8575280,0.97
Switzerland,2019,F,256.34260862710494,12944.210000000003,8575280,0.97
Switzerland,2018,M,306.74154430875933,14727.742000000002,8514329,0.97
Switzerland,2018,F,251.98087722736832,12790.414999999997,8514329,0.97
Switzerland,2017,M,294.09205927405355,14629.715000000006,8451840,0.97
Switzerland,2017,F,251.09382801723032,12651.119,8451840,0.97
Switzerland,2016,M,288.64584745073086,14478.933000000006,8373338,0.97
Switzerland,2016,F,246.13495004289376,12609.937999999996,8373338,0.97
Switzerland,2015,M,318.7821615743277,14309.503000000006,8282396,0.97
Switzerland,2015,F,252.8935183153293,12399.359999999997,8282396,0.97
Switzerland,2014,M,319.45605571020883,14113.321999999996,8188649,0.97
Switzerland,2014,F,274.80184708238687,12184.860000000002,8188649,0.97
Switzerland,2013,M,311.94184195247146,13941.714999999997,8089346,0.97
Switzerland,2013,F,257.5672523612542,11915.898000000001,8089346,0.97
"Bosnia and Herzegovina",2023,M,34.12000025079334,4700.618999999999,3185073,0.804
"Bosnia and Herzegovina",2023,F,31.102096454108885,3219.6400000000012,3185073,0.804
"Bosnia and Herzegovina",2022,M,29.629018064913804,4605.138999999999,3204802,0.804
"Bosnia and Herzegovina",2022,F,26.67095672243739,3050.258999999999,3204802,0.804
"Bosnia and Herzegovina",2021,M,31.156149161757963,4516.704000000001,3244907,0.804
"Bosnia and Herzegovina",2021,F,28.99118382792463,2933.0240000000003,3244907,0.804
"Bosnia and Herzegovina",2020,M,32.079759177128196,4274.809,3299349,0.804
"Bosnia and Herzegovina",2020,F,29.097762681360287,2656.494999999999,3299349,0.804
"Bosnia and Herzegovina",2016,M,18.143369700646577,3037.786,3473003,0.804
"Bosnia and Herzegovina",2016,F,15.937660790655254,1704.13,3473003,0.804
"Bosnia and Herzegovina",2015,M,19.081462652946712,3048.8250000000007,3518541,0.804
"Bosnia and Herzegovina",2015,F,19.240238568038098,1817.3809999999996,3518541,0.804
"Bosnia and Herzegovina",2014,M,21.774976907372874,3026.8399999999997,3564829,0.804
"Bosnia and Herzegovina",2014,F,19.67209751756428,1783.9610000000002,3564829,0.804
"Bosnia and Herzegovina",2013,M,23.020243408357736,3048.392,3610859,0.804
"Bosnia and Herzegovina",2013,F,20.46771863055104,1816.833,3610859,0.804
Mexico,2023,M,25.848151565006056,207007.58399999994,129739759,0.789
Mexico,2023,F,23.752279397065998,142308.848,129739759,0.789
Mexico,2022,M,20.226209610306373,204456.22999999995,128613117,0.789
Mexico,2022,F,18.911580511095597,136256.17399999997,128613117,0.789
Mexico,2021,M,20.422339230374323,192948.577,127648148,0.789
Mexico,2021,F,18.779219209689394,123759.434,127648148,0.789
Mexico,2020,M,19.195174444288902,183630.43899999995,126799054,0.789
Mexico,2020,F,18.795837368657267,117142.061,126799054,0.789
Mexico,2019,M,18.1647975719361,194008.84900000002,125762982,0.789
Mexico,2019,F,16.578388639041815,124950.27399999999,125762982,0.789
Mexico,2018,M,17.387448518417287,191245.45799999998,124573711,0.789
Mexico,2018,F,16.190213486994637,119293.94399999997,124573711,0.789
Mexico,2017,M,17.164806695368284,186571.356,123400057,0.789
Mexico,2017,F,16.09329415256018,115265.02500000001,123400057,0.789
