country,year,gender,avg_hourly_earnings_usd
"El Salvador",2023,A,3.503333333333334
"El Salvador",2023,M,3.4149999999999996
"El Salvador",2023,F,3.601666666666667
"El Salvador",2022,A,3.111666666666667
"El Salvador",2022,M,2.856666666666666
"El Salvador",2022,F,3.53
"El Salvador",2021,A,3.143333333333333
"El Salvador",2021,M,3.0116666666666667
"El Salvador",2021,F,3.3233333333333337
"El Salvador",2019,A,3.361666666666667
"El Salvador",2019,M,3.4299999999999997
"El Salvador",2019,F,3.28
"El Salvador",2018,A,3.125
"El Salvador",2018,M,3.063333333333333
"El Salvador",2018,F,3.206666666666667
"El Salvador",2017,A,3.1299999999999994
"El Salvador",2017,M,3.1149999999999998
"El Salvador",2017,F,3.1199999999999997
"El Salvador",2016,A,3.01
"El Salvador",2016,M,3.1199999999999997
"El Salvador",2016,F,2.82
"El Salvador",2015,A,3.0549999999999997
"El Salvador",2015,M,3.155
"El Salvador",2015,F,2.933333333333333
"El Salvador",2014,A,3.0116666666666667
"El Salvador",2014,M,3.063333333333334
"El Salvador",2014,F,2.933333333333333
"El Salvador",2013,A,3.098333333333333
"El Salvador",2013,M,3.1366666666666667
"El Salvador",2013,F,3.0483333333333333
Colombia,2023,A,2.815969729997962
Colombia,2023,M,2.8817031923201544
Colombia,2023,F,2.7507637041994197
Colombia,2022,A,2.60278382506437
Colombia,2022,M,2.6792339713511644
Colombia,2022,F,2.5287176552291517
Colombia,2021,A,2.0265158099331555
Colombia,2021,M,1.988616305070915
Colombia,2021,F,2.0839938100546753
Colombia,2019,A,2.3677202537119793
Colombia,2019,M,2.344757017173469
Colombia,2019,F,2.407144861124251
Colombia,2018,A,2.3742668654504118
Colombia,2018,M,2.3284255583677123
Colombia,2018,F,2.434130212771566
Colombia,2017,A,2.2979056107594755
Colombia,2017,M,2.2596943621945664
Colombia,2017,F,2.353938949765318
Colombia,2016,A,2.095314466386603
Colombia,2016,M,2.072074725895765
Colombia,2016,F,2.1294703715401826
Colombia,2015,A,2.213830544493876
Colombia,2015,M,2.183915081981361
Colombia,2015,F,2.2605525968819515
Colombia,2014,A,2.9796654015323196
Colombia,2014,M,2.956670606156765
Colombia,2014,F,3.0272724319813302
Colombia,2013,A,3.1768076858250462
Colombia,2013,M,3.154913286549895
Colombia,2013,F,3.228278385534411
"South Africa",2019,A,7.550187499257299
"South Africa",2019,M,7.801310567502958
"South Africa",2019,F,7.677190943510156
"South Africa",2018,A,4.05523385534165
"South Africa",2018,M,4.20636058286991
"South Africa",2018,F,3.6900109304816877
Thailand,2023,A,3.8905120296914184
Thailand,2023,M,4.06909275272739
Thailand,2023,F,3.772847015880911
Thailand,2022,A,3.7709139130283567
Thailand,2022,M,3.9657153099574387
Thailand,2022,F,3.6395727076318085
Thailand,2021,A,4.10799270752572
Thailand,2021,M,4.263416464505073
Thailand,2021,F,4.005575644325039
Thailand,2020,A,4.462297082091518
Thailand,2020,M,4.638956859155402
Thailand,2020,F,4.3390559834705265
Thailand,2019,A,4.1721413533647915
Thailand,2019,M,4.297432817946481
Thailand,2019,F,4.094411258799974
Thailand,2018,A,3.8788545664449003
Thailand,2018,M,4.030457757715467
Thailand,2018,F,3.771974058682867
Thailand,2017,A,3.6514640518479564
Thailand,2017,M,3.830555600801526
Thailand,2017,F,3.524621860746484
Thailand,2016,A,3.632336268635647
Thailand,2016,M,3.792692641314057
Thailand,2016,F,3.5071109740705286
Thailand,2015,A,2.7849058550375356
Thailand,2015,M,2.894061550575389
Thailand,2015,F,2.708599064755166
Thailand,2014,A,3.7514047177992533
Thailand,2014,M,3.9287455292771445
Thailand,2014,F,3.6111638503892194
Kiribati,2023,A,4.854311743957516
Kiribati,2023,M,5.446706083149412
Kiribati,2023,F,4.0404615770303325
Guyana,2019,A,2.6880175859312554
Guyana,2019,M,2.843653077537969
Guyana,2019,F,2.5450439648281376
Guyana,2018,A,2.7140174917756514
Guyana,2018,M,3.02455267592072
Guyana,2018,F,2.4577950734173113
Argentina,2023,A,5.950634532705364
Argentina,2023,M,6.180141664227673
Argentina,2023,F,5.744012855909812
Argentina,2022,A,6.032390229262678
Argentina,2022,M,6.251721801971752
Argentina,2022,F,5.84262356748309
Argentina,2021,A,5.06958178117183
Argentina,2021,M,5.392367624599203
Argentina,2021,F,4.735408863091831
Argentina,2020,A,5.047692180467114
Argentina,2020,M,5.429749429985702
Argentina,2020,F,4.717993549682798
Argentina,2019,A,4.813744873217879
Argentina,2019,M,4.9557725528653265
Argentina,2019,F,4.676009524127654
Argentina,2018,A,6.047341177950155
Argentina,2018,M,6.36679313246518
Argentina,2018,F,5.752804696210675
Argentina,2017,A,7.81655643117228
Argentina,2017,M,8.080905329762482
Argentina,2017,F,7.571326790569191
Argentina,2014,A,6.767570550980081
Argentina,2014,M,6.970865976192505
Argentina,2014,F,6.581611994516737
Argentina,2013,A,7.749087226746806
Argentina,2013,M,8.082765371128252
Argentina,2013,F,7.4773822418433395
India,2023,A,1.3347170993517932
India,2023,M,1.4324580685309083
India,2023,F,1.1379437856782324
India,2022,A,1.3272142497997919
India,2022,M,1.4269328953275242
India,2022,F,1.1358553776144238
India,2021,A,0.9718425040190769
India,2021,M,1.05359975239672
India,2021,F,0.7796926775782952
India,2020,A,1.1888058689785705
India,2020,M,1.2942855678312952
India,2020,F,0.9745805952339252
India,2019,A,1.1224881816588321
India,2019,M,1.2338764530062991
India,2019,F,0.8971839601903324
India,2019,NULL,0.4422017809485114
India,2018,A,1.155908992416533
India,2018,M,1.2701078644346115
India,2018,F,0.9002848335663354
India,2018,NULL,0.4284285467515612
Afghanistan,2020,A,1.3470715987700075
Afghanistan,2020,M,1.2573304717080793
Afghanistan,2020,F,2.006894537346709
Afghanistan,2014,A,1.314584334104837
Afghanistan,2014,M,1.3377003362592255
Afghanistan,2014,F,1.2642473470457225
Portugal,2023,A,8.664565934640676
Portugal,2023,M,8.963716921568787
Portugal,2023,F,8.372623405228905
Portugal,2022,A,8.212024296368385
Portugal,2022,M,8.441939915693936
Portugal,2022,F,7.950517217898864
Portugal,2021,A,9.047963372092878
Portugal,2021,M,9.800974702842218
Portugal,2021,F,8.360002758397798
Portugal,2020,A,9.131857891050451
Portugal,2020,M,9.21942625940324
Portugal,2020,F,9.135665211413617
Portugal,2019,A,7.886697921568473
Portugal,2019,M,8.116190196078273
Portugal,2019,F,7.655339856209001
Portugal,2018,A,7.945855593463905
Portugal,2018,M,8.227316418300502
Portugal,2018,F,7.658489996078289
Portugal,2017,A,7.649824366666748
Portugal,2017,M,7.932244660784399
Portugal,2017,F,7.293974796078509
Portugal,2016,A,7.23545668093407
Portugal,2016,M,7.628407285992448
Portugal,2016,F,6.72259157198464
Portugal,2015,A,7.217381353515623
Portugal,2015,M,7.509553081380205
Portugal,2015,F,6.910416120442704
Portugal,2014,A,8.537831707189376
Portugal,2014,M,8.982879469934465
Portugal,2014,F,8.033001409150172
Portugal,2013,A,8.92273969346415
Portugal,2013,M,9.214925662091604
Portugal,2013,F,8.47117956013081
Sudan,2022,A,1.4540139588046905
Sudan,2022,M,1.9292143145008078
Sudan,2022,F,0.6430988725651171
Egypt,2023,A,24.28
Egypt,2023,M,24.62
Egypt,2023,F,23.116666666666664
Egypt,2022,A,20.205000000000002
Egypt,2022,M,20.511666666666667
Egypt,2022,F,19.406666666666666
Egypt,2021,A,19.823333333333334
Egypt,2021,M,19.804999999999996
Egypt,2021,F,19.599999999999998
Egypt,2020,A,19.291666666666668
Egypt,2020,M,19.686666666666667
Egypt,2020,F,17.835
Egypt,2019,A,20.768333333333334
Egypt,2019,M,21.19
Egypt,2019,F,19.936666666666664
Egypt,2018,A,13.045
Egypt,2018,M,13.576666666666668
Egypt,2018,F,11.536666666666669
Egypt,2017,A,14.146666666666667
Egypt,2017,M,14.696666666666667
Egypt,2017,F,12.704999999999998
Egypt,2016,A,12.868333333333334
Egypt,2016,M,13.543333333333335
Egypt,2016,F,11.06
Egypt,2015,A,10.954999999999998
Egypt,2015,M,11.358333333333334
Egypt,2015,F,9.801666666666666
Egypt,2013,A,8.245000000000001
Egypt,2013,M,8.626666666666667
Egypt,2013,F,7.168333333333332
Iceland,2022,A,54.997083010335885
Iceland,2022,M,60.48200714926992
Iceland,2022,F,50.17744616588171
Iceland,2021,A,55.78442068531764
Iceland,2021,M,62.11568469308097
Iceland,2021,F,50.00438613096655
Iceland,2017,A,58.686120524503735
Iceland,2017,M,66.47349728309817
Iceland,2017,F,51.067220666936585
Iceland,2016,A,48.63773450553687
Iceland,2016,M,55.49138395594266
Iceland,2016,F,42.08206981384435
Iceland,2015,A,41.10106947278231
Iceland,2015,M,46.95315830217883
Iceland,2015,F,35.76444960763315
Iceland,2014,A,42.529010835512366
Iceland,2014,M,48.45532487058578
Iceland,2014,F,37.09941098256939
"North Macedonia",2018,A,8.896802787463583
"North Macedonia",2018,M,9.7054256672914
"North Macedonia",2018,F,7.824716173561099
Honduras,2023,A,3.7920903155500607
Honduras,2023,M,3.8579395658710016
Honduras,2023,F,3.7180437820101546
Honduras,2022,A,3.5793426978726743
Honduras,2022,M,3.3385235736747223
Honduras,2022,F,3.786128593665038
Honduras,2021,A,3.597711622762491
Honduras,2021,M,3.6239434186347244
Honduras,2021,F,3.6778643323720943
Honduras,2020,A,4.076918902232294
Honduras,2020,M,3.6242141823672487
Honduras,2020,F,4.75153504161483
Honduras,2019,A,2.6835545043460303
Honduras,2019,M,2.852067201669264
Honduras,2019,F,2.5690365938164392
Honduras,2018,A,2.6618300313378347
Honduras,2018,M,2.763003976995233
Honduras,2018,F,2.572300502582424
Honduras,2017,A,2.6644431531245174
Honduras,2017,M,2.9382106423317826
Honduras,2017,F,2.427717299315436
Honduras,2016,A,2.7843930571706674
Honduras,2016,M,2.9593436497953256
Honduras,2016,F,2.6219232953089695
Honduras,2015,A,2.834639808826618
Honduras,2015,M,2.8527151564447917
Honduras,2015,F,2.826437550243581
Honduras,2014,A,2.7156606480391425
Honduras,2014,M,2.6705854651594527
Honduras,2014,F,2.7452978190234623
Honduras,2013,A,2.526901740401604
Honduras,2013,M,2.4315877456827693
Honduras,2013,F,2.6257531617285608
Albania,2018,A,6.062336499803202
Albania,2018,M,6.3494023320240265
Albania,2018,F,5.807681326058923
"Bolivia (Plurinational State of)",2023,A,31.925
"Bolivia (Plurinational State of)",2023,M,33.848333333333336
"Bolivia (Plurinational State of)",2023,F,29.64333333333333
"Bolivia (Plurinational State of)",2022,A,30.265
"Bolivia (Plurinational State of)",2022,M,31.403333333333336
"Bolivia (Plurinational State of)",2022,F,29.28166666666667
"Bolivia (Plurinational State of)",2021,A,30.38166666666667
"Bolivia (Plurinational State of)",2021,M,31.91333333333333
"Bolivia (Plurinational State of)",2021,F,28.49166666666667
Guatemala,2023,A,4.276699499668505
Guatemala,2023,M,4.237118163800547
Guatemala,2023,F,4.2862756293139785
"United Kingdom of Great Britain and Northern Ireland",2023,A,20.17
"United Kingdom of Great Britain and Northern Ireland",2023,M,21.43166666666667
"United Kingdom of Great Britain and Northern Ireland",2023,F,18.796666666666667
"United Kingdom of Great Britain and Northern Ireland",2022,A,19.020000000000003
"United Kingdom of Great Britain and Northern Ireland",2022,M,20.546666666666667
"United Kingdom of Great Britain and Northern Ireland",2022,F,17.40833333333333
"United Kingdom of Great Britain and Northern Ireland",2021,A,18.146666666666665
"United Kingdom of Great Britain and Northern Ireland",2021,M,19.715
"United Kingdom of Great Britain and Northern Ireland",2021,F,16.48
"United Kingdom of Great Britain and Northern Ireland",2020,A,18.851666666666667
"United Kingdom of Great Britain and Northern Ireland",2020,M,20.06833333333333
"United Kingdom of Great Britain and Northern Ireland",2020,F,17.506666666666664
"United Kingdom of Great Britain and Northern Ireland",2018,A,16.810000000000002
"United Kingdom of Great Britain and Northern Ireland",2018,M,18.290000000000003
"United Kingdom of Great Britain and Northern Ireland",2018,F,15.106666666666667
"United Kingdom of Great Britain and Northern Ireland",2017,A,16.224999999999998
"United Kingdom of Great Britain and Northern Ireland",2017,M,17.463333333333335
"United Kingdom of Great Britain and Northern Ireland",2017,F,14.823333333333332
"United Kingdom of Great Britain and Northern Ireland",2016,A,15.694999999999999
"United Kingdom of Great Britain and Northern Ireland",2016,M,16.801666666666666
"United Kingdom of Great Britain and Northern Ireland",2016,F,14.503333333333336
"United Kingdom of Great Britain and Northern Ireland",2015,A,15.686666666666667
"United Kingdom of Great Britain and Northern Ireland",2015,M,16.939999999999998
"United Kingdom of Great Britain and Northern Ireland",2015,F,14.17
"United Kingdom of Great Britain and Northern Ireland",2014,A,15.243333333333334
"United Kingdom of Great Britain and Northern Ireland",2014,M,16.368333333333332
"United Kingdom of Great Britain and Northern Ireland",2014,F,13.949999999999998
"United Kingdom of Great Britain and Northern Ireland",2013,A,15.106666666666667
"United Kingdom of Great Britain and Northern Ireland",2013,M,16.208333333333332
"United Kingdom of Great Britain and Northern Ireland",2013,F,13.831666666666669
"Venezuela (Bolivarian Republic of)",2017,A,1905.4924999999998
"Venezuela (Bolivarian Republic of)",2017,M,2000.97
"Venezuela (Bolivarian Republic of)",2017,F,1654.7725
"Venezuela (Bolivarian Republic of)",2016,A,150.09
"Venezuela (Bolivarian Republic of)",2016,M,158.215
"Venezuela (Bolivarian Republic of)",2016,F,162.185
Tunisia,2019,A,2.33662376608772
Tunisia,2019,M,2.428066747696889
Tunisia,2019,F,2.2003112469187713
"Marshall Islands",2019,A,5.613333333333333
"Marshall Islands",2019,M,5.426666666666667
"Marshall Islands",2019,F,5.945
Mali,2020,A,1.2495555156483835
Mali,2020,M,1.358899151826858
Mali,2020,F,0.7880281946490154
Mali,2018,A,1.3466254434141554
Mali,2018,M,1.4749696469921416
Mali,2018,F,0.8575516015955953
Mali,2017,A,1.010958712555496
Mali,2017,M,1.0813445300440707
Mali,2017,F,0.8269429406285518
Mali,2016,A,1.2198669429129885
Mali,2016,M,1.315962331176582
Mali,2016,F,0.6899428382171479
Mali,2015,A,0.9595547617474353
Mali,2015,M,0.971549901036569
Mali,2015,F,0.9133885575042934
Mali,2014,A,1.3191534125298945
Mali,2014,M,1.3992973704467515
Mali,2014,F,0.8692893736046207
Mali,2013,A,1.143879524062342
Mali,2013,M,1.2104618788807342
Mali,2013,F,1.1511974752386214
"Republic of Korea",2022,A,55221.5
"Republic of Korea",2022,M,60027.75
"Republic of Korea",2022,F,43990.25
"Republic of Korea",2021,A,48600.5
"Republic of Korea",2021,M,52889
"Republic of Korea",2021,F,38307.75
"Republic of Korea",2020,A,47418.5
"Republic of Korea",2020,M,51488.25
"Republic of Korea",2020,F,37881
"Republic of Korea",2019,A,50012.5
"Republic of Korea",2019,M,54285.75
"Republic of Korea",2019,F,40157.25
"Republic of Korea",2018,A,46626.5
"Republic of Korea",2018,M,51070.25
"Republic of Korea",2018,F,37102.5
"Republic of Korea",2017,A,41361.75
"Republic of Korea",2017,M,45588.25
"Republic of Korea",2017,F,31329.75
"Republic of Korea",2016,A,40173
"Republic of Korea",2016,M,44008
"Republic of Korea",2016,F,31436.5
"Republic of Korea",2015,A,37976.25
"Republic of Korea",2015,M,41880.75
"Republic of Korea",2015,F,28596.75
"Republic of Korea",2014,A,39545.5
"Republic of Korea",2014,M,43491.5
"Republic of Korea",2014,F,30641
"Republic of Korea",2013,A,37510.75
"Republic of Korea",2013,M,41327.75
"Republic of Korea",2013,F,27359.75
Uruguay,2023,A,11.144462069128343
Uruguay,2023,M,12.144232399702064
Uruguay,2023,F,10.012041546555274
Uruguay,2022,A,9.357902897057611
Uruguay,2022,M,10.139600407243766
Uruguay,2022,F,8.568271015457864
Ukraine,2016,A,2.534244710576417
Ukraine,2016,M,2.865277653698401
Ukraine,2016,F,2.2750279783662175
Switzerland,2023,A,54.99968465610821
Switzerland,2023,M,58.665093657135856
Switzerland,2023,F,50.3437248420498
Switzerland,2022,A,50.63889914374161
Switzerland,2022,M,53.011042949068724
Switzerland,2022,F,47.57902564062283
Switzerland,2021,A,54.96733128764428
Switzerland,2021,M,58.85018899066676
Switzerland,2021,F,50.04491093045419
Switzerland,2020,A,53.061970715983364
Switzerland,2020,M,55.82387699932017
Switzerland,2020,F,49.39126236512188
Switzerland,2019,A,46.61826775272106
Switzerland,2019,M,49.64061416360084
Switzerland,2019,F,42.72376810451749
Switzerland,2018,A,47.15416670217388
Switzerland,2018,M,51.12359071812656
Switzerland,2018,F,41.99681287122805
Switzerland,2017,A,46.0194815636028
Switzerland,2017,M,49.01534321234226
Switzerland,2017,F,41.84897133620506
Switzerland,2016,A,44.888963841966955
Switzerland,2016,M,48.10764124178848
Switzerland,2016,F,41.02249167381563
Switzerland,2015,A,48.69171775929135
Switzerland,2015,M,53.130360262387946
Switzerland,2015,F,42.148919719221546
Switzerland,2014,A,50.23552990502219
Switzerland,2014,M,53.24267595170147
Switzerland,2014,F,45.80030784706448
Switzerland,2013,A,48.079436212948366
Switzerland,2013,M,51.99030699207858
Switzerland,2013,F,42.927875393542365
"Bosnia and Herzegovina",2023,A,5.489526472662604
"Bosnia and Herzegovina",2023,M,5.686666708465556
"Bosnia and Herzegovina",2023,F,5.183682742351481
"Bosnia and Herzegovina",2022,A,4.780406405886892
"Bosnia and Herzegovina",2022,M,4.938169677485634
"Bosnia and Herzegovina",2022,F,4.4451594537395644
"Bosnia and Herzegovina",2021,A,5.076783233947168
"Bosnia and Herzegovina",2021,M,5.192691526959661
"Bosnia and Herzegovina",2021,F,4.831863971320772
"Bosnia and Herzegovina",2020,A,5.202962635845047
"Bosnia and Herzegovina",2020,M,5.346626529521366
"Bosnia and Herzegovina",2020,F,4.8496271135600475
"Bosnia and Herzegovina",2016,A,2.8740198575057883
"Bosnia and Herzegovina",2016,M,3.023894950107763
"Bosnia and Herzegovina",2016,F,2.6562767984425424
"Bosnia and Herzegovina",2015,A,3.228443606858146
"Bosnia and Herzegovina",2015,M,3.180243775491119
"Bosnia and Herzegovina",2015,F,3.2067064280063495
"Bosnia and Herzegovina",2014,A,3.473142734135486
"Bosnia and Herzegovina",2014,M,3.629162817895479
"Bosnia and Herzegovina",2014,F,3.2786829195940466
"Bosnia and Herzegovina",2013,A,3.6522827937766036
"Bosnia and Herzegovina",2013,M,3.836707234726289
"Bosnia and Herzegovina",2013,F,3.4112864384251735
Mexico,2023,A,4.144068218142632
Mexico,2023,M,4.308025260834342
Mexico,2023,F,3.958713232844333
Mexico,2022,A,3.2659540376651672
Mexico,2022,M,3.371034935051062
Mexico,2022,F,3.1519300851825993
Mexico,2021,A,3.2738257952414025
